description;name;snaptoroads;geojson
;VPM4362;;"{""type"":""MultiLineString"",""coordinates"":[[[-58.39318,-34.57545],[-58.39263,-34.57584],[-58.39211,-34.57629],[-58.39094,-34.57738],[-58.38875,-34.57902]]]}"
;VPM4381;true;"{""type"":""MultiLineString"",""coordinates"":[[[-58.38079,-34.58796],[-58.37973,-34.58591],[-58.37952,-34.58538],[-58.37949,-34.58498],[-58.37958,-34.58416],[-58.37984,-34.58367],[-58.38081,-34.5828],[-58.3828,-34.58173]]]}"
;VPM4372;;"{""type"":""MultiLineString"",""coordinates"":[[[-58.38872,-34.57905],[-58.3883,-34.57935],[-58.38608,-34.58048],[-58.3848,-34.58105],[-58.38374,-34.58163],[-58.38297,-34.58204]]]}"
;VPM4391;;"{""type"":""MultiLineString"",""coordinates"":[[[-58.3808,-34.58799],[-58.38124,-34.58895],[-58.38161,-34.58992],[-58.38181,-34.59073],[-58.38196,-34.59153]]]}"
;VPM4382;;"{""type"":""MultiLineString"",""coordinates"":[[[-58.38298,-34.58203],[-58.38172,-34.58277],[-58.38111,-34.58305],[-58.38045,-34.58354],[-58.37996,-34.58405],[-58.37987,-34.58427],[-58.3798,-34.58448],[-58.37978,-34.58484],[-58.37979,-34.5852],[-58.38,-34.58575],[-58.38041,-34.5865],[-58.38087,-34.58747],[-58.3813,-34.58834]]]}"
;VPM4392;true;"{""type"":""MultiLineString"",""coordinates"":[[[-58.38131,-34.58834],[-58.38164,-34.58907],[-58.38189,-34.58978],[-58.382,-34.59039],[-58.38206,-34.59153]]]}"
;VPM4182;;"{""type"":""MultiLineString"",""coordinates"":[[[-58.38078,-34.62212],[-58.38074,-34.62283],[-58.38063,-34.62339],[-58.38037,-34.62404],[-58.37994,-34.62495],[-58.37957,-34.62577],[-58.37922,-34.62651],[-58.37894,-34.62759]]]}"
;VPM4181;;"{""type"":""MultiLineString"",""coordinates"":[[[-58.38104,-34.62215],[-58.381,-34.62266],[-58.38086,-34.62335],[-58.38065,-34.62397],[-58.38022,-34.62501],[-58.37978,-34.62596],[-58.37946,-34.62677],[-58.3792,-34.62765]]]}"
;VPM4402;true;"{""type"":""MultiLineString"",""coordinates"":[[[-58.3763,-34.63982],[-58.37707,-34.63642],[-58.37834,-34.63252],[-58.37839,-34.63224],[-58.37841,-34.63116],[-58.37838,-34.6295],[-58.37846,-34.62897],[-58.37893,-34.62765]]]}"
;VPM4401;;"{""type"":""MultiLineString"",""coordinates"":[[[-58.3792,-34.62765],[-58.37868,-34.62911]]]}"
;VPM4412;true;"{""type"":""MultiLineString"",""coordinates"":[[[-58.37454,-34.64703],[-58.37482,-34.6463],[-58.3755,-34.64414],[-58.37632,-34.63986]]]}"
;VPM4411;true;"{""type"":""MultiLineString"",""coordinates"":[[[-58.37869,-34.62914],[-58.37861,-34.62999],[-58.37863,-34.63123],[-58.37865,-34.63186],[-58.3786,-34.63247],[-58.37839,-34.63342],[-58.3781,-34.63438],[-58.37744,-34.63627],[-58.3772,-34.63709],[-58.37705,-34.638],[-58.37667,-34.64008]]]}"
;VPM4422;true;"{""type"":""MultiLineString"",""coordinates"":[[[-58.37336,-34.64939],[-58.37403,-34.64832],[-58.3745,-34.64706]]]}"
;VPM4421;true;"{""type"":""MultiLineString"",""coordinates"":[[[-58.37665,-34.64008],[-58.3761,-34.64307],[-58.37582,-34.64439],[-58.37548,-34.64571],[-58.37435,-34.64844],[-58.37327,-34.65037],[-58.37266,-34.65158],[-58.3717,-34.65422],[-58.37154,-34.65449],[-58.3711,-34.65599],[-58.37059,-34.65696],[-58.3704,-34.65758],[-58.37042,-34.65831],[-58.3703,-34.65863]]]}"
;VPM4322;;"{""type"":""MultiLineString"",""coordinates"":[[[-58.4243,-34.55667],[-58.41952,-34.55999],[-58.41651,-34.56256]]]}"
